source_file,source_id,normalized_id,mou_id,match_type,anomaly_flag
plasma_bank,WU-487 2-1,WU-487 2-1,mou0001,existing,
plasma_bank,WU-487 3-2,WU-487 3-2,mou0002,existing,
plasma_bank,WU-487 5-2,WU-487 5-2,mou0003,existing,
plasma_bank,WU-487 1-4,WU-487 1-4,mou0004,existing,
plasma_bank,WU-487 3-5,WU-487 3-5,mou0005,existing,
plasma_bank,WU-487 4-4,WU-487 4-4,mou0006,existing,
plasma_bank,JH-2-055 1-4,JH-2-055 1-4,mou0007,existing,
plasma_bank,JH-2-055 4-5,JH-2-055 4-5,mou0008,existing,
plasma_bank,JH-2-055 5-5,JH-2-055 5-5,mou0009,existing,
plasma_bank,JH-2-055 3-2,JH-2-055 3-2,mou0010,existing,
plasma_bank,JH-2-055 3-3,JH-2-055 3-3,mou0011,existing,
plasma_bank,JH-2-055 7-5,JH-2-055 7-5,mou0012,existing,
plasma_bank,MN2 5-2,MN2 5-2,mou0013,existing,
plasma_bank,MN2 2-1,MN2 2-1,mou0014,existing,
plasma_bank,MN2 2-4,MN2 2-4,mou0015,existing,
plasma_bank,MN2 3-3,MN2 3-3,mou0016,existing,
plasma_bank,MN2 1-2,MN2 1-2,mou0017,existing,
plasma_bank,MN2 7-3,MN2 7-3,mou0018,existing,
plasma_bank,JH-2-055 1-1,JH-2-055 1-1,mou0019,new,
plasma_bank,JH-2-055 1-2,JH-2-055 1-2,mou0020,new,
plasma_bank,JH-2-055 1-3,JH-2-055 1-3,mou0021,new,
plasma_bank,JH-2-055 1-5,JH-2-055 1-5,mou0022,new,
plasma_bank,JH-2-055 2-1,JH-2-055 2-1,mou0023,new,
plasma_bank,JH-2-055 2-2,JH-2-055 2-2,mou0024,new,
plasma_bank,JH-2-055 2-3,JH-2-055 2-3,mou0025,new,
plasma_bank,JH-2-055 2-4,JH-2-055 2-4,mou0026,new,
plasma_bank,JH-2-055 2-5,JH-2-055 2-5,mou0027,new,
plasma_bank,JH-2-055 3-1,JH-2-055 3-1,mou0028,new,
plasma_bank,JH-2-055 3-4,JH-2-055 3-4,mou0029,new,
plasma_bank,JH-2-055 3-5,JH-2-055 3-5,mou0030,new,
plasma_bank,JH-2-055 4-1-2,JH-2-055 4-1-2,mou0031,new,three-part ID
plasma_bank,JH-2-055 4-2,JH-2-055 4-2,mou0032,new,
plasma_bank,JH-2-055 4-3,JH-2-055 4-3,mou0033,new,
plasma_bank,JH-2-055 4-4,JH-2-055 4-4,mou0034,new,
plasma_bank,JH-2-055 5-1,JH-2-055 5-1,mou0035,new,
plasma_bank,JH-2-055 5-2,JH-2-055 5-2,mou0036,new,
plasma_bank,JH-2-055 5-3,JH-2-055 5-3,mou0037,new,
plasma_bank,JH-2-055 5-4,JH-2-055 5-4,mou0038,new,
plasma_bank,JH-2-055 6-1,JH-2-055 6-1,mou0039,new,
plasma_bank,JH-2-055 6-2,JH-2-055 6-2,mou0040,new,
plasma_bank,JH-2-055 6-3,JH-2-055 6-3,mou0041,new,
plasma_bank,JH-2-055 6-4,JH-2-055 6-4,mou0042,new,
plasma_bank,JH-2-055 6-5,JH-2-055 6-5,mou0043,new,
plasma_bank,JH-2-055 7-1,JH-2-055 7-1,mou0044,new,
plasma_bank,JH-2-055 7-2,JH-2-055 7-2,mou0045,new,
plasma_bank,JH-2-055 7-3,JH-2-055 7-3,mou0046,new,
plasma_bank,JH-2-055 7-4,JH-2-055 7-4,mou0047,new,
plasma_bank,MN2 1-3,MN2 1-3,mou0048,new,
tumor_vol,MN2 1-4,MN2 1-4,mou0049,new,tumor_vol_only
plasma_bank,MN2 1-5,MN2 1-5,mou0050,new,
plasma_bank,MN2 2-2,MN2 2-2,mou0051,new,
plasma_bank,MN2 2-3,MN2 2-3,mou0052,new,
plasma_bank,MN2 2-5,MN2 2-5,mou0053,new,
tumor_vol,MN2 3-1,MN2 3-1,mou0054,new,tumor_vol_only
tumor_vol,MN2 3-2,MN2 3-2,mou0055,new,tumor_vol_only
tumor_vol,MN2 3-5,MN2 3-5,mou0056,new,tumor_vol_only
plasma_bank,MN2 4-5,MN2 4-5,mou0057,new,
plasma_bank,MN2 5-1,MN2 5-1,mou0058,new,
tumor_vol,MN2 5-3,MN2 5-3,mou0059,new,tumor_vol_only
plasma_bank,MN2 5-4,MN2 5-4,mou0060,new,
plasma_bank,MN2 6-1,MN2 6-1,mou0061,new,
plasma_bank,MN2 6-3,MN2 6-3,mou0062,new,
plasma_bank,MN2 6-4,MN2 6-4,mou0063,new,
plasma_bank,MN2 6-5,MN2 6-5,mou0064,new,
plasma_bank,MN2 7-2,MN2 7-2,mou0065,new,
tumor_vol,MN2 7-5,MN2 7-5,mou0066,new,tumor_vol_only
plasma_bank,No PDX 1,No PDX 1,mou0067,new,
plasma_bank,No PDX 10,No PDX 10,mou0068,new,
plasma_bank,No PDX 2,No PDX 2,mou0069,new,
plasma_bank,No PDX 3,No PDX 3,mou0070,new,
plasma_bank,No PDX 4,No PDX 4,mou0071,new,
plasma_bank,No PDX 5,No PDX 5,mou0072,new,
plasma_bank,No PDX 6,No PDX 6,mou0073,new,
plasma_bank,No PDX 7,No PDX 7,mou0074,new,
plasma_bank,No PDX 8,No PDX 8,mou0075,new,
plasma_bank,No PDX 9,No PDX 9,mou0076,new,
plasma_bank,WU-225 1-1,WU-225 1-1,mou0077,new,
plasma_bank,WU-225 1-2,WU-225 1-2,mou0078,new,
plasma_bank,WU-225 1-3,WU-225 1-3,mou0079,new,
plasma_bank,WU-225 1-4,WU-225 1-4,mou0080,new,
plasma_bank,WU-225 1-5,WU-225 1-5,mou0081,new,
plasma_bank,WU-225 2-1,WU-225 2-1,mou0082,new,
plasma_bank,WU-225 2-2,WU-225 2-2,mou0083,new,
plasma_bank,WU-225 2-3,WU-225 2-3,mou0084,new,
plasma_bank,WU-225 2-4,WU-225 2-4,mou0085,new,
plasma_bank,WU-225 2-5,WU-225 2-5,mou0086,new,
plasma_bank,WU-225 3-1,WU-225 3-1,mou0087,new,
plasma_bank,WU-225 3-2,WU-225 3-2,mou0088,new,
plasma_bank,WU-225 3-3,WU-225 3-3,mou0089,new,
plasma_bank,WU-225 3-4,WU-225 3-4,mou0090,new,
plasma_bank,WU-225 3-5,WU-225 3-5,mou0091,new,
plasma_bank,WU-225 4-1,WU-225 4-1,mou0092,new,
plasma_bank,WU-225 4-2,WU-225 4-2,mou0093,new,
plasma_bank,WU-225 4-3,WU-225 4-3,mou0094,new,
plasma_bank,WU-225 4-4,WU-225 4-4,mou0095,new,
plasma_bank,WU-225 4-5,WU-225 4-5,mou0096,new,
plasma_bank,WU-225 5-1,WU-225 5-1,mou0097,new,
plasma_bank,WU-225 5-2,WU-225 5-2,mou0098,new,
plasma_bank,WU-225 5-3,WU-225 5-3,mou0099,new,
plasma_bank,WU-225 5-4,WU-225 5-4,mou0100,new,
plasma_bank,WU-225 5-5,WU-225 5-5,mou0101,new,
plasma_bank,WU-225 6-1,WU-225 6-1,mou0102,new,
plasma_bank,WU-225 6-2,WU-225 6-2,mou0103,new,
plasma_bank,WU-225 6-3,WU-225 6-3,mou0104,new,
plasma_bank,WU-225 6-4,WU-225 6-4,mou0105,new,
plasma_bank,WU-225 6-5,WU-225 6-5,mou0106,new,
plasma_bank,WU-225 7-1,WU-225 7-1,mou0107,new,
plasma_bank,WU-225 7-2,WU-225 7-2,mou0108,new,
plasma_bank,WU-225 7-3,WU-225 7-3,mou0109,new,
plasma_bank,WU-225 7-4,WU-225 7-4,mou0110,new,
plasma_bank,WU-225 7-5,WU-225 7-5,mou0111,new,
tumor_vol,WU-487 1-1,WU-487 1-1,mou0112,new,tumor_vol_only
plasma_bank,WU-487 1-2,WU-487 1-2,mou0113,new,
plasma_bank,WU-487 1-3,WU-487 1-3,mou0114,new,
plasma_bank,WU-487 1-5,WU-487 1-5,mou0115,new,
tumor_vol,WU-487 2-2,WU-487 2-2,mou0116,new,tumor_vol_only
plasma_bank,WU-487 2-3,WU-487 2-3,mou0117,new,
tumor_vol,WU-487 2-4,WU-487 2-4,mou0118,new,tumor_vol_only
tumor_vol,WU-487 2-5,WU-487 2-5,mou0119,new,tumor_vol_only
tumor_vol,WU-487 3-1,WU-487 3-1,mou0120,new,tumor_vol_only
tumor_vol,WU-487 3-3,WU-487 3-3,mou0121,new,tumor_vol_only
tumor_vol,WU-487 3-4,WU-487 3-4,mou0122,new,tumor_vol_only
plasma_bank,WU-487 4-1,WU-487 4-1,mou0123,new,
tumor_vol,WU-487 4-2,WU-487 4-2,mou0124,new,tumor_vol_only
tumor_vol,WU-487 4-3,WU-487 4-3,mou0125,new,tumor_vol_only
plasma_bank,WU-487 4-5,WU-487 4-5,mou0126,new,
plasma_bank,WU-487 5-1,WU-487 5-1,mou0127,new,
plasma_bank,WU-487 5-3,WU-487 5-3,mou0128,new,
plasma_bank,WU-487 5-4,WU-487 5-4,mou0129,new,
tumor_vol,WU-487 5-5,WU-487 5-5,mou0130,new,tumor_vol_only
plasma_bank,WU-487 6-1,WU-487 6-1,mou0131,new,
tumor_vol,WU-487 6-2,WU-487 6-2,mou0132,new,tumor_vol_only
plasma_bank,WU-487 6-3,WU-487 6-3,mou0133,new,
tumor_vol,WU-487 6-4,WU-487 6-4,mou0134,new,tumor_vol_only
plasma_bank,WU-487 6-5,WU-487 6-5,mou0135,new,
plasma_bank,WU-487 7-1,WU-487 7-1,mou0136,new,
plasma_bank,WU-487 7-2,WU-487 7-2,mou0137,new,
plasma_bank,WU-487 7-3,WU-487 7-3,mou0138,new,
plasma_bank,WU-487 7-4,WU-487 7-4,mou0139,new,
plasma_bank,WU-487 7-5,WU-487 7-5,mou0140,new,
