12_3_24_Qubit,,,,,,,,,,,,,,,,
Run ID,Assay Name,Test Name,Test Date,Qubit tube conc.,Qubit tube conc. units,Original sample conc.,Original sample conc. units,Sample Volume (uL),Dilution Factor,Std 1 RFU,Std 2 RFU,Std 3 RFU,Excitation,Emission,Green RFU,Far Red RFU
SPRI - Mouse 4 No PDX Terminal w/ Hemo - 50uL,1x dsDNA High Sensitivity,Sample_#241204-034644,4/12/2024 3:46,0.78,ng/mL,0.0078,ng/uL,20,10,135.74,30874,,Blue,Green,181.16,
N/A - wrong input volume ,1x dsDNA High Sensitivity,Sample_#241204-034625,4/12/2024 3:46,0.9,ng/mL,0.018,ng/uL,10,20,135.74,30874,,Blue,Green,188.29,
SPRI - Mouse 3 No PDX Terminal w/o Hemo - 50uL,1x dsDNA High Sensitivity,Sample_#241204-034533,4/12/2024 3:45,Out of range,ng/mL,Out of range,ng/uL,10,20,135.74,30874,,Blue,Green,158.24,
SPRI - Mouse 4 No PDX Terminal w/ Hemo - 200uL,1x dsDNA High Sensitivity,Sample_#241204-034449,4/12/2024 3:44,1.1,ng/mL,0.022,ng/uL,10,20,135.74,30874,,Blue,Green,199.98,
SPRI - Mouse 3 No PDX Terminal w/o Hemo - 50uL,1x dsDNA High Sensitivity,Sample_#241204-034413,4/12/2024 3:44,Out of range,ng/mL,Out of range,ng/uL,10,20,135.74,30874,,Blue,Green,156.46,
Mouse 4 No PDX Terminal w/ Hemo - 50uL,1x dsDNA High Sensitivity,Sample_#241204-034332,4/12/2024 3:43,1.08,ng/mL,0.0216,ng/uL,10,20,135.74,30874,,Blue,Green,198.97,
Mouse 3 No PDX Terminal w/o Hemo - 50uL,1x dsDNA High Sensitivity,Sample_#241204-034254,4/12/2024 3:42,0.9,ng/mL,0.018,ng/uL,10,20,135.74,30874,,Blue,Green,188.7,
Mouse 3 No PDX Terminal w/o Hemo - 200uL,1x dsDNA High Sensitivity,Sample_#241204-034208,4/12/2024 3:42,0.98,ng/mL,0.0196,ng/uL,10,20,135.74,30874,,Blue,Green,192.93,
Mouse 2 PDX 1 Serial - 50uL,1x dsDNA High Sensitivity,Sample_#241204-034111,4/12/2024 3:41,1.3,ng/mL,0.026,ng/uL,10,20,135.74,30874,,Blue,Green,211.91,
SPRI - Mouse 4 No PDX Terminal w/ Hemo - 50uL,1x dsDNA High Sensitivity,Sample_#241204-033854,4/12/2024 3:38,Out of range,ng/mL,Out of range,ng/uL,5,40,135.74,30874,,Blue,Green,148.47,
SPRI - Mouse 4 No PDX Terminal w/ Hemo - 200uL,1x dsDNA High Sensitivity,Sample_#241204-033820,4/12/2024 3:38,Out of range,ng/mL,Out of range,ng/uL,5,40,135.74,30874,,Blue,Green,150.78,
SPRI - Mouse 3 No PDX Terminal w/o Hemo - 50uL,1x dsDNA High Sensitivity,Sample_#241204-033745,4/12/2024 3:37,Out of range,ng/mL,Out of range,ng/uL,5,40,135.74,30874,,Blue,Green,135.05,
SPRI - Mouse 2 PDX 1 Serial - 50uL,1x dsDNA High Sensitivity,Sample_#241204-033702,4/12/2024 3:37,2.2,ng/mL,0.088,ng/uL,5,40,135.74,30874,,Blue,Green,265.67,
Mouse 4 No PDX Terminal w/ Hemo - 50uL,1x dsDNA High Sensitivity,Sample_#241204-033627,4/12/2024 3:36,Out of range,ng/mL,Out of range,ng/uL,5,40,135.74,30874,,Blue,Green,156.92,
Mouse 3 No PDX Terminal w/o Hemo - 50uL,1x dsDNA High Sensitivity,Sample_#241204-033553,4/12/2024 3:35,Out of range,ng/mL,Out of range,ng/uL,5,40,135.74,30874,,Blue,Green,154.12,
Mouse 3 No PDX Terminal w/o Hemo - 200uL,1x dsDNA High Sensitivity,Sample_#241204-033514,4/12/2024 3:35,Out of range,ng/mL,Out of range,ng/uL,5,40,135.74,30874,,Blue,Green,164.12,
Mouse 2 PDX 1 Serial - 50uL,1x dsDNA High Sensitivity,Sample_#241204-033428,4/12/2024 3:34,Out of range,ng/mL,Out of range,ng/uL,5,40,135.74,30874,,Blue,Green,153.16,
SPRI - Mouse 4 No PDX Terminal w/ Hemo - 50uL,1x dsDNA High Sensitivity,Sample_#241204-032630,4/12/2024 3:26,Out of range,ng/mL,Out of range,ng/uL,2,100,135.74,30874,,Blue,Green,136.43,
SPRI - Mouse 4 No PDX Terminal w/ Hemo - 200uL,1x dsDNA High Sensitivity,Sample_#241204-032601,4/12/2024 3:26,Out of range,ng/mL,Out of range,ng/uL,2,100,135.74,30874,,Blue,Green,141.75,
SPRI - Mouse 3 No PDX Terminal w/o Hemo - 50uL,1x dsDNA High Sensitivity,Sample_#241204-032526,4/12/2024 3:25,Out of range,ng/mL,Out of range,ng/uL,2,100,135.74,30874,,Blue,Green,137.49,
SPRI - Mouse 3 No PDX Terminal w/o Hemo - 200uL,1x dsDNA High Sensitivity,Sample_#241204-032439,4/12/2024 3:24,0.51,ng/mL,0.051,ng/uL,2,100,135.74,30874,,Blue,Green,165.47,
SPRI - Mouse 2 PDX 1 Serial - 50uL,1x dsDNA High Sensitivity,Sample_#241204-032355,4/12/2024 3:23,Out of range,ng/mL,Out of range,ng/uL,2,100,135.74,30874,,Blue,Green,135.23,
Mouse 4 No PDX Terminal w/ Hemo - 50uL,1x dsDNA High Sensitivity,Sample_#241204-032252,4/12/2024 3:22,Out of range,ng/mL,Out of range,ng/uL,2,100,135.74,30874,,Blue,Green,147.4,
Mouse 4 No PDX Terminal w/ Hemo - 200uL,1x dsDNA High Sensitivity,Sample_#241204-032049,4/12/2024 3:20,0.75,ng/mL,0.075,ng/uL,2,100,135.74,30874,,Blue,Green,179.68,
Mouse 3 No PDX Terminal w/o Hemo - 50uL,1x dsDNA High Sensitivity,Sample_#241204-032014,4/12/2024 3:20,Out of range,ng/mL,Out of range,ng/uL,2,100,135.74,30874,,Blue,Green,143.4,
N/A - repeat,1x dsDNA High Sensitivity,Sample_#241204-031919,4/12/2024 3:19,Out of range,ng/mL,Out of range,ng/uL,2,100,135.74,30874,,Blue,Green,148.88,
Mouse 3 No PDX Terminal w/o Hemo - 200uL,1x dsDNA High Sensitivity,Sample_#241204-031819,4/12/2024 3:18,Out of range,ng/mL,Out of range,ng/uL,2,100,135.74,30874,,Blue,Green,145.08,
Mouse 2 PDX 1 Serial - 50uL,1x dsDNA High Sensitivity,Sample_#241204-031800,4/12/2024 3:18,Out of range,ng/mL,Out of range,ng/uL,2,100,135.74,30874,,Blue,Green,156.77,
