lib_id	strategy	long	nucleosomal	short	sl_ratio	treatment	tumor_vol_mm3	tumor_fraction
lib0622	s1	1498	21860	71566	47.77436582109479	vehicle	1823	0.08571
lib0622	s3a	NA	NA	3683	NA	vehicle	1823	0.1012
lib0622	s3b	NA	NA	3925	NA	vehicle	1823	0.08077
lib0623	s1	3194	23429	67104	21.0093926111459	vehicle	1410	0.1052
lib0623	s3a	NA	386	3417	NA	vehicle	1410	0.1238
lib0623	s3b	NA	116	3974	NA	vehicle	1410	0.09254
lib0624	s1	3122	22040	69612	22.29724535554132	vehicle	1048	0.0901
lib0624	s3a	NA	127	3507	NA	vehicle	1048	0.1058
lib0624	s3b	NA	NA	3923	NA	vehicle	1048	0.07443
lib0625	s1	4439	23679	61268	13.802207704437937	mirdametinib	1902	0.09897
lib0625	s3a	48	375	3212	66.91666666666667	mirdametinib	1902	0.1001
lib0625	s3b	NA	189	3729	NA	mirdametinib	1902	0.08488
lib0626	s1	1076	25633	74586	69.317843866171	mirdametinib	1868	0.1512
lib0626	s3a	NA	2159	7249	NA	mirdametinib	1868	0.4694
lib0626	s3b	NA	1907	7999	NA	mirdametinib	1868	0.3536
lib0627	s1	4630	27653	70185	15.158747300215984	mirdametinib	2551	0.1965
lib0627	s3a	112	6091	12649	112.9375	mirdametinib	2551	0.6494
lib0627	s3b	NA	6269	13579	NA	mirdametinib	2551	0.547
