lib_id	strategy	tumor_fraction	treatment	cfdna_conc_pg_ul	tumor_vol_mm3
lib0622	s1	0.08571	vehicle	467	1823
lib0622	s3a	0.1012	vehicle	467	1823
lib0622	s3b	0.08077	vehicle	467	1823
lib0623	s1	0.1052	vehicle	536	1410
lib0623	s3a	0.1238	vehicle	536	1410
lib0623	s3b	0.09254	vehicle	536	1410
lib0624	s1	0.0901	vehicle	111	1048
lib0624	s3a	0.1058	vehicle	111	1048
lib0624	s3b	0.07443	vehicle	111	1048
lib0625	s1	0.09897	mirdametinib	1720	1902
lib0625	s3a	0.1001	mirdametinib	1720	1902
lib0625	s3b	0.08488	mirdametinib	1720	1902
lib0626	s1	0.1512	mirdametinib	2380	1868
lib0626	s3a	0.4694	mirdametinib	2380	1868
lib0626	s3b	0.3536	mirdametinib	2380	1868
lib0627	s1	0.1965	mirdametinib	387	2551
lib0627	s3a	0.6494	mirdametinib	387	2551
lib0627	s3b	0.547	mirdametinib	387	2551
